ID,Name,Description,Contributor,Citation,Glottocode,Year,Source,Media_IDs,Type,Map_IDs
map_1,Indigenous languages of Suriname,,,,,,queixalos2000linguas,,map,
map_2,Langues amérindiennes de Guyane française,,,,,,queixalos2000linguas,,map,
map_3,Lenguas indígenas de la Amazonía boliviana,"Región de las Cuencas de los Ríos Amazonas y de la Plata (Oriente, Chaco y Amazonia)",,,,,queixalos2000linguas,,map,
map_4,Lenguas indígenas de la Amazonía colombiana,,,,,,queixalos2000linguas,,map,
map_5,Lenguas indígenas de la Amazonía ecuatoriana,,,,,,queixalos2000linguas,,map,
map_6,Lenguas indígenas de la Amazonía peruana,,,,,,queixalos2000linguas,,map,
map_7,Línguas indígenas da Amazônia brasileira,,,,,,queixalos2000linguas,,map,
1,A'ingae,,,,cofa1242,2000,queixalos2000linguas,features,feature,map_5
2,Achuar,,,,achu1249,2000,queixalos2000linguas,features,feature,map_6
3,Achuar Chicham,,,,shua1256,2000,queixalos2000linguas,features,feature,map_5
4,Aguaruna,,,,agua1253,2000,queixalos2000linguas,features,feature,map_6
5,Aikanã,,,,aika1237,2000,queixalos2000linguas,features,feature,map_7
6,Akurio,,,,tiri1260,2000,queixalos2000linguas,features,feature,map_1
7,Amahuaca,,,,amah1246,2000,queixalos2000linguas,features,feature,map_6
8,Amanayé,,,,aman1266,2000,queixalos2000linguas,features,feature,map_7
9,Amawaka,,,,amah1246,2000,queixalos2000linguas,features,feature,map_7
10,Anambé,,,,anam1249,2000,queixalos2000linguas,features,feature,map_7
11,Andoke,,,,ando1256,2000,queixalos2000linguas,features,feature,map_4
12,Aparai,,,,apal1257,2000,queixalos2000linguas,features,feature,map_7
13,Apiaka,,,,apia1248,2000,queixalos2000linguas,features,feature,map_7
14,Apinaje,,,,apin1244,2000,queixalos2000linguas,features,feature,map_7
15,Apurinã,,,,,2000,queixalos2000linguas,features,feature,map_7
16,Arabela,,,,arab1268,2000,queixalos2000linguas,features,feature,map_6
17,Araona,,,,arao1248,2000,queixalos2000linguas,features,feature,map_3
18,Arapaso,,,,arap1275,2000,queixalos2000linguas,features,feature,map_7
19,Arara,,,,para1310,2000,queixalos2000linguas,features,feature,map_7
20,Arara Do Beiradão,,,,mato1253,2000,queixalos2000linguas,features,feature,map_7
21,Arawak,,,,araw1276,2000,queixalos2000linguas,features,feature,map_1
22,Araweté,,,,araw1273,2000,queixalos2000linguas,features,feature,map_7
23,Aripakú,,,,arik1265,2000,queixalos2000linguas,features,feature,map_7
24,Aruju,,,,wayo1238,2000,queixalos2000linguas,features,feature,map_7
25,Aruá,,,,arua1261,2000,queixalos2000linguas,features,feature,map_7
26,Asháninca,,,,asha1243,2000,queixalos2000linguas,features,feature,map_6
27,Asurini,,,,,2000,queixalos2000linguas,features,feature,map_7
28,Ava Canoeiro,,,,avac1239,2000,queixalos2000linguas,features,feature,map_7
29,Awa,,,,yagu1244,2000,queixalos2000linguas,features,feature,map_4
30,Ayoreo,,,,ayor1240,2000,queixalos2000linguas,features,feature,map_3
31,Bakairi,,,,baka1277,2000,queixalos2000linguas,features,feature,map_7
32,Banawa,,,,bana1307,2000,queixalos2000linguas,features,feature,map_7
33,Baniva,,,,bani1255,2000,queixalos2000linguas,features,feature,map_4
34,Baniwa,,,,bani1255,2000,queixalos2000linguas,features,feature,map_7
35,Bara,,,,bara1380,2000,queixalos2000linguas,features,feature,map_7
36,Barasana,,,,bara1380,2000,queixalos2000linguas,features,feature,map_4
37,Barasano,,,,bara1380,2000,queixalos2000linguas,features,feature,map_7
38,Baré,,,,bare1276,2000,queixalos2000linguas,features,feature,map_7
39,Bauré,,,,baur1253,2000,queixalos2000linguas,features,feature,map_3
40,Bora,,,,bora1263,2000,queixalos2000linguas,features,feature,map_4
41,Bora,,,,bora1263,2000,queixalos2000linguas,features,feature,map_6
42,Bororo,,,,boro1282,2000,queixalos2000linguas,features,feature,map_7
43,Cabiyari,,,,cabi1241,2000,queixalos2000linguas,features,feature,map_4
44,Cacua,,,,cacu1241,2000,queixalos2000linguas,features,feature,map_4
45,Campa Caquinte,,,,caqu1242,2000,queixalos2000linguas,features,feature,map_6
46,Canamari,,,,,2000,queixalos2000linguas,features,feature,map_7
47,Candoshi,,,,cand1248,2000,queixalos2000linguas,features,feature,map_6
48,Canela Apaniekra,,,,timb1253,2000,queixalos2000linguas,features,feature,map_7
49,Canela Rankokamekra,,,,timb1253,2000,queixalos2000linguas,features,feature,map_7
50,Capanahua,,,,pano1259,2000,queixalos2000linguas,features,feature,map_6
51,Carapana,,,,cara1272,2000,queixalos2000linguas,features,feature,map_4
52,Carib,,,,gali1262,2000,queixalos2000linguas,features,feature,map_1
53,Carijona,,,,cari1279,2000,queixalos2000linguas,features,feature,map_4
54,Cashibo-Cacataibo,,,,pano1259,2000,queixalos2000linguas,features,feature,map_6
55,Cashinahua,,,,pano1259,2000,queixalos2000linguas,features,feature,map_6
56,Cavineña,,,,cavi1250,2000,queixalos2000linguas,features,feature,map_3
57,Chacobo,,,,chac1251,2000,queixalos2000linguas,features,feature,map_3
58,Chamicuro,,,,cham1318,2000,queixalos2000linguas,features,feature,map_6
59,Chayahuita,,,,chay1248,2000,queixalos2000linguas,features,feature,map_6
60,Chiquitanos,,,,chiq1253,2000,queixalos2000linguas,features,feature,map_3
61,Chulupis,,,,niva1238,2000,queixalos2000linguas,features,feature,map_3
62,Cinta Larga,,,,cint1239,2000,queixalos2000linguas,features,feature,map_7
63,Cocama- Cocamilla,,,,coca1259,2000,queixalos2000linguas,features,feature,map_6
64,Cofán,,,,cofa1242,2000,queixalos2000linguas,features,feature,map_4
65,Coreguaje,,,,kore1283,2000,queixalos2000linguas,features,feature,map_4
66,Cubeo,,,,cube1242,2000,queixalos2000linguas,features,feature,map_4
67,Culina,,,,culi1244,2000,queixalos2000linguas,features,feature,map_6
68,Curripaco,,,,curr1243,2000,queixalos2000linguas,features,feature,map_4
